id,estado_empresa,cnae_empresa,capital_empresa,processos_judiciais_empresa,idade_empresa,socios_empresa,fornecedor_empresa,descricao
5977,MT,4221903,435169,1,14,4,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
5978,PA,4221902,937338,0,7,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
5979,PA,3329599,231985,0,4,3,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
5980,AC,3511501,729924,4,12,2,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
5981,AM,4321500,556697,0,12,2,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
5982,AM,4673700,516386,0,6,1,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
5983,AC,3511500,794329,2,20,4,XPTO123,
5984,SP,3321000,288705,0,11,1,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
5985,MS,4669999,232798,0,10,1,FOO456,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
5986,AP,4322301,551052,2,19,1,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
5987,PE,4669999,155886,0,6,3,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
5988,PI,2821602,404878,0,4,4,CABL951,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
5989,SC,3511502,443012,1,14,1,CABL951,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
5990,DF,3313901,759707,0,9,4,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
5991,RR,3313901,902362,4,12,2,JJF753,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
5992,ES,3511502,873102,0,13,4,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
5993,MS,4322303,112382,4,15,3,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
5994,PB,3313901,506328,0,6,2,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
5995,SC,7112000,636699,0,15,3,CABL951,SERVIÇOS DE ENGENHARIA
5996,RR,3321000,853139,1,19,3,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
5997,MT,3321000,791255,2,19,1,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
5998,GO,3313901,13878,1,15,1,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
5999,BA,7112000,339620,0,2,2,MEL789,SERVIÇOS DE ENGENHARIA
6000,MT,3329599,169519,2,3,3,CABL951,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6001,MG,4754703,334255,0,19,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6002,MT,4322303,405373,3,14,4,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6003,AP,4322302,303999,0,12,1,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6004,AM,4673700,250142,0,15,2,FOO456,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
6005,PE,2821602,225056,0,21,2,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6006,RS,4321500,432971,0,19,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6007,SE,3511500,324425,4,17,4,MEL789,
6008,PA,7112000,323822,2,9,1,MEL789,SERVIÇOS DE ENGENHARIA
6009,GO,4221903,759655,1,20,3,MEL789,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6010,AL,3321000,285100,3,3,2,FOO456,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6011,RR,4669901,802399,4,2,4,MEL789,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
6012,DF,7112000,699224,0,5,4,CABL951,SERVIÇOS DE ENGENHARIA
6013,AM,4669999,328269,0,18,4,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6014,AL,4754703,607877,0,6,1,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6015,GO,3511502,907261,0,11,3,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6016,PE,3511500,518391,1,8,1,CABL951,
6017,ES,7112000,998762,0,2,1,MEL789,SERVIÇOS DE ENGENHARIA
6018,MT,2821601,703060,0,4,4,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6019,GO,3321000,31211,0,3,2,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6020,RR,4322302,206154,1,4,1,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6021,CE,4221903,140334,4,19,3,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6022,GO,2731700,437244,1,9,1,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6023,ES,4669999,860999,0,19,2,JJF753,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6024,RR,3511501,708021,4,4,3,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
6025,PR,4742300,866090,0,7,2,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6026,GO,4673700,808434,0,9,4,XPTO123,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
6027,PA,4322303,560593,0,3,1,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6028,SE,4669999,195135,0,8,2,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6029,RO,4221902,364212,0,5,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6030,BA,4322302,626262,0,10,1,MEL789,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6031,PE,4221903,528222,2,21,1,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6032,TO,3313901,133521,0,12,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6033,RN,3329599,63443,0,5,3,FOO456,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6034,AL,4322301,531922,4,1,2,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6035,CE,4669901,892378,4,16,4,MEL789,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
6036,SP,3511501,298345,2,14,4,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
6037,PE,3511500,648255,0,3,3,CABL951,
6038,AP,4321500,117753,3,16,1,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6039,PB,4669999,675119,0,8,1,XPTO123,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6040,PA,7112000,91737,0,12,2,MEL789,SERVIÇOS DE ENGENHARIA
6041,AP,4742300,77472,2,21,3,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6042,PE,2731700,827107,2,6,2,XPTO123,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6043,RN,3313901,823723,0,21,3,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6044,MT,4321500,840897,0,21,4,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6045,DF,3511500,589672,0,6,4,JJF753,
6046,AC,4669999,130228,0,10,4,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6047,GO,3511501,184969,0,9,2,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
6048,BA,4321500,156799,0,13,2,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6049,MG,3511502,544079,0,10,1,CABL951,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6050,DF,4321500,511174,0,2,4,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6051,AP,4321500,87446,0,18,1,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6052,MA,4322301,393766,2,5,1,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6053,RO,2731700,244699,3,14,4,FOO456,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6054,PB,4754703,14260,0,4,3,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6055,ES,4322303,928473,4,19,3,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6056,CE,3511502,509674,2,5,3,FOO456,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6057,PA,4321500,700157,2,2,3,CABL951,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6058,SC,4322303,565198,1,18,1,FOO456,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6059,GO,4221903,806725,2,11,1,CABL951,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6060,CE,4221903,443782,3,20,4,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6061,AL,3321000,139177,2,15,1,XPTO123,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6062,PA,3511502,430567,3,11,3,XPTO123,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6063,AC,3321000,212032,2,2,1,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6064,TO,3511500,836934,3,2,4,CABL951,
6065,MT,4754703,671246,0,15,1,FOO456,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6066,MG,4221902,193813,1,2,4,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6067,MT,2821602,654751,1,7,2,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6068,ES,4322302,785461,0,6,2,JJF753,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6069,SP,3511501,857818,0,13,3,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
6070,AM,2821602,125705,0,12,4,MEL789,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6071,ES,3313901,181043,0,6,2,JJF753,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6072,MG,7112000,730428,0,11,2,XPTO123,SERVIÇOS DE ENGENHARIA
6073,RN,2821602,293159,1,2,1,MEL789,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6074,DF,4221903,691791,1,3,3,XPTO123,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6075,DF,3511500,517991,0,3,1,MEL789,
6076,PI,4221902,347121,2,19,2,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6077,GO,3313901,514043,0,20,3,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6078,MG,4669999,208542,0,2,2,CABL951,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6079,RR,3511502,640941,3,14,4,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6080,BA,4742300,937924,0,8,2,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6081,RJ,2821601,917404,0,3,1,JJF753,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6082,RJ,3313901,414951,0,13,2,FOO456,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6083,PA,3511501,485068,0,20,3,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
6084,RJ,4221902,993468,0,6,4,CABL951,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6085,PB,2821601,760537,4,14,3,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6086,AM,4221902,459487,0,15,4,FOO456,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6087,SE,2821602,136691,0,21,4,XPTO123,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6088,MG,4669901,137478,0,20,4,XPTO123,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
6089,ES,2821602,456983,0,9,2,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6090,MA,7112000,111093,3,18,3,CABL951,SERVIÇOS DE ENGENHARIA
6091,CE,2731700,524489,3,20,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6092,PE,7112000,32867,4,8,2,FOO456,SERVIÇOS DE ENGENHARIA
6093,SE,3511501,873916,0,10,4,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
6094,AC,4321500,591823,0,19,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6095,CE,3511501,532276,0,14,4,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
6096,ES,4754703,548987,0,17,2,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6097,BA,3511501,603119,1,20,4,MEL789,GERAÇÃO DE ENERGIA ELÉTRICA
6098,AC,4221902,709904,0,10,1,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6099,MG,3329599,668764,0,19,3,CABL951,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6100,AC,4221902,459166,0,1,1,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6101,MS,4221902,60470,0,1,3,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6102,RJ,2731700,712526,0,1,2,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6103,GO,4322303,691718,0,7,4,MEL789,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6104,MS,4754703,142659,0,21,3,CABL951,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6105,PE,2731700,489270,0,16,1,CABL951,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6106,SC,4221902,465441,1,5,1,MEL789,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6107,SP,3511502,110132,0,14,1,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6108,BA,7112000,482060,0,5,3,FOO456,SERVIÇOS DE ENGENHARIA
6109,SC,3511501,556389,0,2,1,XPTO123,GERAÇÃO DE ENERGIA ELÉTRICA
6110,PB,4742300,743660,0,21,3,MEL789,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6111,AM,4669901,212631,0,12,3,FOO456,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
6112,AP,3321000,281729,4,20,3,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6113,SP,4673700,884082,0,14,3,JJF753,COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO
6114,AC,4742300,143718,0,16,1,JJF753,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6115,BA,7112000,472789,0,2,1,JJF753,SERVIÇOS DE ENGENHARIA
6116,AC,3329599,300995,3,14,4,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6117,MA,3511500,388004,0,10,2,FOO456,
6118,PA,4322301,333161,1,14,2,JJF753,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6119,AM,3313901,397093,0,13,4,CABL951,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6120,SC,4742300,371965,0,3,1,CABL951,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6121,GO,7112000,278910,0,11,2,XPTO123,SERVIÇOS DE ENGENHARIA
6122,SC,4322301,150363,4,5,3,MEL789,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6123,PA,4322303,139173,1,21,1,JJF753,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6124,GO,7112000,781898,1,8,2,FOO456,SERVIÇOS DE ENGENHARIA
6125,MA,4321500,192847,1,11,1,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6126,ES,4322303,160794,0,19,4,FOO456,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6127,AL,2821602,843841,0,7,3,FOO456,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6128,RO,7112000,974822,4,10,2,MEL789,SERVIÇOS DE ENGENHARIA
6129,MT,7112000,177158,4,1,4,MEL789,SERVIÇOS DE ENGENHARIA
6130,DF,4321500,21664,0,21,1,XPTO123,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6131,MT,2821601,375701,0,5,3,MEL789,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6132,PB,4221902,529845,3,9,1,XPTO123,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6133,AL,4669999,832479,3,10,1,FOO456,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6134,CE,4669901,776647,0,11,4,FOO456,COMÉRCIO ATACADISTA DE BOMBAS E COMPRESSORES; PARTES E PEÇAS
6135,PB,2821602,720537,4,9,4,JJF753,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6136,PI,3321000,605324,0,19,2,MEL789,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6137,AM,2821601,927804,0,12,4,XPTO123,"FABRICAÇÃO DE FORNOS INDUSTRIAIS, APARELHOS E EQUIPAMENTOS NÃO ELÉTRICOS PARA INSTALAÇÕES TÉRMICAS, PEÇAS E ACESSÓRIOS"
6138,PA,3511500,305077,2,14,3,FOO456,
6139,MG,4322303,684962,0,1,1,CABL951,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6140,PE,4322302,260712,0,7,4,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6141,MG,4321500,59717,1,11,3,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6142,AM,3511501,102674,0,4,4,FOO456,GERAÇÃO DE ENERGIA ELÉTRICA
6143,RN,4322302,523235,0,5,3,FOO456,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6144,CE,4321500,307920,0,21,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6145,RR,4221903,798539,3,1,2,JJF753,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6146,TO,4754703,722874,0,10,4,MEL789,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6147,AL,3511501,400358,0,6,4,JJF753,GERAÇÃO DE ENERGIA ELÉTRICA
6148,DF,4322303,138820,3,8,2,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6149,PI,4669999,536491,0,13,1,MEL789,COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE; PARTES E PEÇAS
6150,PR,3511502,666617,0,17,1,MEL789,ATIVIDADES DE COORDENAÇÃO E CONTROLE DA OPERAÇÃO DA GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA
6151,PR,4221903,515302,2,9,4,FOO456,MANUTENÇÃO DE REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6152,PB,2731700,308101,0,11,4,MEL789,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
6153,AP,4322302,197402,1,10,1,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6154,AL,4221902,468090,0,13,2,JJF753,CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
6155,CE,4742300,628935,0,7,4,FOO456,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6156,SP,4321500,617379,1,7,3,MEL789,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6157,MG,3321000,879475,0,2,4,JJF753,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS
6158,CE,4742300,521292,0,5,3,CABL951,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
6159,RJ,3313901,390506,0,15,4,MEL789,"MANUTENÇÃO E REPARAÇÃO DE GERADORES, TRANSFORMADORES E MOTORES ELÉTRICOS"
6160,SP,4322301,192752,0,20,3,FOO456,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6161,RN,3511501,485126,4,12,2,CABL951,GERAÇÃO DE ENERGIA ELÉTRICA
6162,GO,3511500,34865,0,8,2,CABL951,
6163,SP,4322303,961124,4,16,2,XPTO123,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
6164,PE,4322301,211904,1,19,3,CABL951,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6165,RO,4321500,103040,0,7,2,JJF753,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA
6166,MT,3329599,489141,0,12,4,JJF753,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6167,BA,4754703,421529,0,2,1,JJF753,COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINAÇÃO
6168,PI,4322302,240935,1,13,4,CABL951,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO"
6169,MT,2821602,62945,0,13,1,CABL951,"FABRICAÇÃO DE ESTUFAS E FORNOS ELÉTRICOS PARA FINS INDUSTRIAIS, PEÇAS E ACESSÓRIOS"
6170,BA,4322301,140005,3,20,2,CABL951,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS"
6171,MA,3329599,420137,2,19,3,XPTO123,INSTALAÇÃO DE OUTROS EQUIPAMENTOS NÃO ESPECIFICADOS ANTERIORMENTE
6172,RS,2731700,249965,0,2,1,JJF753,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA
