id;estado_empresa;cnae_empresa;capital_empresa;processos_judiciais_empresa;idade_empresa;socios_empresa;fornecedor_empresa
5077;mg;2821602;400745;0;21;1;MEL789
5078;mg;2821602;525137;0;16;1;FOO456
5079;mg;3329599;922482;0;9;1;MEL789
5080;mg;4321500;18065;1;3;2;JJF753
5081;mg;3511501;345235;0;7;4;XPTO123
5082;mg;3511500;799337;3;5;3;MEL789
5083;mg;3313901;542402;3;21;3;XPTO123
5084;mg;3511501;53137;0;6;1;JJF753
5085;mg;4221902;272743;2;17;3;CABL951
5086;mg;2821602;301125;4;4;1;FOO456
5087;mg;4321500;896046;0;3;3;XPTO123
5088;mg;4669999;989823;2;12;4;JJF753
5089;mg;4742300;219431;0;9;3;CABL951
5090;mg;4669901;13150;0;1;1;FOO456
5091;mg;3511501;899570;1;7;4;MEL789
5092;mg;4221903;243356;1;1;4;XPTO123
5093;mg;3511502;127856;0;18;4;MEL789
5094;mg;7112000;727437;0;15;2;MEL789
5095;pa;2821602;66060;1;14;3;CABL951
5096;pa;7112000;765551;0;10;1;XPTO123
5097;pa;4321500;164580;2;17;1;JJF753
5098;pb;2821602;66037;0;5;2;XPTO123
5099;pb;2821602;686417;1;19;2;CABL951
5100;pr;4673700;459466;1;1;3;CABL951
5101;pr;4322302;313821;0;18;2;CABL951
5102;pr;4754703;330020;0;14;4;CABL951
5103;pr;4322303;49808;4;3;2;CABL951
5104;pr;3511501;693264;4;1;3;FOO456
5105;pr;4754703;995117;0;6;2;XPTO123
5106;pr;2821601;289750;0;1;1;JJF753
5107;pe;4221903;99204;0;19;2;JJF753
5108;pe;4322301;660617;0;7;1;XPTO123
5109;pe;4321500;730074;1;18;3;FOO456
5110;pe;3511501;833449;2;4;3;JJF753
5111;pe;4322301;869357;0;19;3;JJF753
5112;pe;4322302;925380;0;17;1;FOO456
5113;pi;3329599;560296;0;21;4;FOO456
5114;pi;4742300;524761;0;13;4;FOO456
5115;pi;4221902;125420;0;9;1;CABL951
5116;rj;3329599;815294;0;2;1;MEL789
5117;rj;4321500;694088;0;15;4;MEL789
5118;rj;4322302;24749;0;4;2;MEL789
5119;rj;4673700;833199;0;8;4;CABL951
5120;rj;4322301;873210;4;20;3;JJF753
5121;rn;4321500;44149;0;3;2;JJF753
5122;rn;4322303;916647;0;8;4;CABL951
5123;rn;4322301;737784;0;10;3;FOO456
5124;rs;4669901;257585;4;9;4;XPTO123
5125;rs;2731700;827853;0;5;1;FOO456
5126;rs;4322302;516003;4;15;2;CABL951
5127;rs;3511501;807931;0;15;1;XPTO123
5128;rs;3511501;78541;2;21;1;FOO456
5129;rs;7112000;136916;0;14;3;CABL951
5130;ro;3329599;751027;0;10;2;XPTO123
5131;ro;2821602;475101;4;3;3;XPTO123
5132;sc;4221903;237998;0;19;4;CABL951
5133;sc;4322303;512248;2;21;4;CABL951
5134;sp;7112000;650493;0;3;2;JJF753
5135;sp;2821601;479299;1;7;4;XPTO123
5136;sp;2731700;189948;0;15;3;CABL951
5137;sp;4321500;908040;3;5;3;JJF753
5138;sp;4321500;855015;1;8;1;FOO456
5139;sp;3511501;557920;0;1;3;MEL789
5140;sp;4221903;827257;0;20;2;FOO456
5141;sp;4669999;842711;0;14;1;JJF753
5142;sp;2821601;749090;0;3;4;MEL789
5143;sp;3313901;243561;0;7;3;XPTO123
5144;sp;4321500;850254;2;5;1;JJF753
5145;sp;4322303;190750;0;10;1;JJF753
5146;sp;4669999;116546;0;13;2;FOO456
5147;sp;4754703;626515;0;8;1;CABL951
5148;sp;4669901;494682;0;14;4;JJF753
5149;sp;4322302;228763;0;6;4;XPTO123
5150;sp;3511502;99675;0;13;3;FOO456
5151;sp;3511502;359628;0;10;2;MEL789
5152;sp;4221903;616351;0;17;4;MEL789
5153;sp;2821602;869335;0;16;3;MEL789
5154;sp;3511502;300447;0;5;1;CABL951
5155;sp;4673700;34382;3;8;3;FOO456
5156;sp;3313901;774175;0;21;1;CABL951
5157;se;4742300;564958;0;2;1;JJF753
5158;to;4321500;177949;0;9;1;MEL789
5159;to;3511501;302931;1;4;2;FOO456
5160;AP;3329599;979691;0;1;4;JJF753
5161;RS;2731700;278174;0;5;2;FOO456
5162;SP;4669901;567000;0;12;4;FOO456
5163;PR;4669901;503678;0;5;3;MEL789
5164;SE;4673700;600828;0;19;2;JJF753
5165;RR;3511501;648425;3;19;2;MEL789
5166;MG;3321000;652501;0;11;3;CABL951
5167;ES;7112000;880435;0;16;4;FOO456
5168;AL;4754703;733757;0;3;1;JJF753
5169;SE;3511500;552743;0;18;3;JJF753
5170;PB;3321000;733601;0;10;1;XPTO123
5171;PR;4742300;837564;0;18;2;MEL789
5172;BA;4221903;952872;0;17;1;CABL951
5173;MG;2821602;175665;0;13;3;FOO456
5174;RJ;3511502;766753;0;7;4;FOO456
5175;SE;4322301;845176;0;3;2;JJF753
5176;PA;2731700;366167;3;8;1;XPTO123
5177;AM;3511500;270708;0;9;1;MEL789
5178;RJ;4321500;570365;2;18;2;XPTO123
5179;SC;3329599;441954;0;4;3;CABL951
5180;AL;3321000;409382;2;7;1;MEL789
5181;TO;2821601;817981;1;12;1;MEL789
5182;MS;3511501;541708;4;11;2;JJF753
5183;AL;4221903;200367;0;7;2;XPTO123
5184;RS;4321500;433717;0;4;3;FOO456
5185;PA;3313901;646658;3;7;2;JJF753
5186;AM;4221903;736284;0;17;4;XPTO123
5187;MA;4321500;643313;0;21;1;JJF753
5188;PE;7112000;466252;1;11;2;XPTO123
5189;ES;2821602;756132;4;14;1;CABL951
5190;RS;2731700;168987;2;21;4;FOO456
5191;TO;3511501;891574;0;11;1;CABL951
5192;SC;4673700;208770;0;20;3;FOO456
5193;PR;7112000;405074;0;21;4;JJF753
5194;AL;4673700;675457;0;1;3;FOO456
5195;GO;3511501;88510;0;21;1;CABL951
5196;SE;4669901;105286;0;9;2;XPTO123
5197;ES;3511501;248700;0;21;1;MEL789
5198;AL;4669999;227011;0;17;1;CABL951
5199;AL;2821601;170379;3;11;2;CABL951
5200;DF;4221903;621921;4;15;3;XPTO123
5201;MA;2731700;490381;0;3;3;XPTO123
5202;SC;4221903;567091;4;12;2;JJF753
5203;AC;7112000;36187;4;3;2;XPTO123
5204;PI;3511501;46636;2;15;4;FOO456
5205;MT;3329599;100360;0;2;2;XPTO123
5206;DF;4322303;935188;3;14;3;FOO456
5207;RR;7112000;53341;0;18;4;MEL789
5208;PB;4754703;932204;0;12;4;FOO456
5209;RS;4322301;794144;0;21;4;FOO456
5210;RJ;7112000;869466;2;1;1;JJF753
5211;PE;4673700;954457;0;15;3;XPTO123
5212;PI;7112000;368102;1;2;1;JJF753
5213;PR;4322303;480168;0;18;1;MEL789
5214;AM;3329599;991718;0;2;2;XPTO123
5215;AP;4221902;174947;0;15;1;MEL789
5216;PB;4669999;768106;0;5;2;XPTO123
5217;PE;3511501;629933;4;4;3;XPTO123
5218;SE;4669901;302977;0;5;2;MEL789
5219;GO;4321500;165898;0;10;3;CABL951
5220;MG;2821602;697891;3;13;4;XPTO123
5221;PB;4322303;617485;0;5;2;XPTO123
5222;AC;7112000;695782;0;9;2;MEL789
5223;GO;3511501;95065;4;11;3;FOO456
5224;GO;2821602;476777;2;2;1;JJF753
5225;PI;3511500;899194;0;1;2;JJF753
5226;BA;4321500;995247;0;17;3;FOO456
5227;TO;4221902;645283;0;11;2;FOO456
5228;DF;2821602;170942;2;10;1;CABL951
5229;SE;3321000;693284;0;14;2;CABL951
5230;RN;4221903;793008;0;21;4;MEL789
5231;PA;3321000;270413;0;19;3;CABL951
5232;ES;3511502;314351;3;17;2;MEL789
5233;SC;4673700;735933;4;12;1;XPTO123
5234;SC;3321000;701221;0;21;2;JJF753
5235;CE;4754703;23508;0;10;1;FOO456
5236;SC;2821602;464941;0;21;1;JJF753
5237;MT;4321500;433263;1;10;2;JJF753
5238;PA;3511501;112807;1;21;1;MEL789
5239;MT;4742300;256733;0;14;4;JJF753
5240;PE;4221903;131677;2;10;3;XPTO123
5241;MT;4221903;665861;0;9;4;CABL951
5242;PI;4754703;746208;0;6;3;XPTO123
5243;RN;2821602;733195;0;13;1;MEL789
5244;CE;4754703;503278;1;1;3;XPTO123
5245;DF;3511500;272808;0;20;3;CABL951
5246;MG;4322301;729942;4;15;4;JJF753
5247;PB;7112000;759999;4;14;3;XPTO123
5248;AC;3329599;806817;0;12;2;MEL789
5249;RJ;4322302;191542;1;16;4;JJF753
5250;SE;2821602;880363;0;18;4;CABL951
5251;PR;4673700;881195;4;21;3;MEL789
5252;MA;4321500;830066;0;8;2;FOO456
5253;AP;4754703;596270;4;19;1;FOO456
5254;AL;4322302;940144;0;3;3;FOO456
5255;AP;7112000;246277;0;5;2;CABL951
5256;RJ;3511501;663595;0;16;2;JJF753
5257;RR;4221903;822586;0;6;3;XPTO123
5258;SC;3313901;140672;2;4;3;CABL951
5259;BA;4221903;84648;0;20;2;MEL789
5260;RS;2731700;735883;3;2;2;CABL951
5261;PB;7112000;38637;2;12;1;CABL951
5262;MT;4221902;349652;1;10;1;XPTO123
5263;PI;4321500;53970;4;7;1;MEL789
5264;BA;4742300;648215;0;13;3;XPTO123
5265;DF;3511500;674914;0;8;1;JJF753
5266;PR;4322302;830304;0;2;2;MEL789
5267;MA;4321500;952651;0;21;4;JJF753
5268;MA;4221902;576995;0;8;2;MEL789
5269;RS;3321000;555631;0;7;4;CABL951
5270;AP;4221902;513810;1;14;2;CABL951
5271;GO;4321500;104289;0;4;1;CABL951
5272;AP;3329599;518553;4;4;3;MEL789
5273;RJ;7112000;471296;0;11;3;JJF753
5274;SE;4322303;979306;3;4;1;JJF753
5275;CE;2821601;198260;0;13;4;CABL951
5276;AM;3511501;211340;0;10;2;XPTO123
5277;PR;2821601;794436;0;10;1;FOO456
5278;AM;4322301;360695;0;5;2;FOO456
5279;AM;7112000;125456;1;11;3;FOO456
5280;DF;4221903;445154;0;17;3;XPTO123
5281;AL;3329599;148779;0;10;1;JJF753
5282;PR;3313901;123000;0;10;2;CABL951
5283;MS;4669999;520101;1;12;2;JJF753
5284;SE;3511501;48676;4;3;1;JJF753
5285;SP;4321500;416998;2;13;3;JJF753
5286;BA;2731700;290200;3;12;3;JJF753
5287;PA;4221903;169477;0;11;4;MEL789
5288;MS;4754703;188066;4;10;4;XPTO123
5289;RN;3511501;951341;0;6;3;XPTO123
5290;SC;4321500;646550;0;13;3;MEL789
5291;PR;4321500;203405;0;9;3;XPTO123
5292;RN;3511501;36409;2;12;2;FOO456
5293;AL;3321000;309803;0;14;2;XPTO123
5294;PE;4322303;539043;0;14;3;CABL951
5295;GO;3329599;785731;0;12;1;JJF753
5296;AC;4754703;670478;3;12;4;CABL951
5297;PE;4754703;103442;0;14;2;FOO456
5298;SE;4322303;679985;3;21;4;CABL951
5299;BA;4221903;434961;0;20;4;CABL951
5300;ES;4322303;59516;3;19;2;MEL789
5301;AC;2821601;710670;0;8;3;XPTO123
5302;RJ;4321500;34201;0;19;3;XPTO123
5303;RS;4669901;680393;0;8;4;CABL951
5304;AL;3321000;756027;0;15;2;JJF753
5305;SE;4321500;851173;0;2;2;CABL951
5306;RR;4322303;388453;1;4;3;XPTO123
5307;AC;3511501;352656;0;21;3;XPTO123
5308;GO;4321500;243021;3;10;3;FOO456
5309;MT;2731700;167441;2;13;1;CABL951
5310;CE;4754703;932787;0;12;4;FOO456
5311;BA;4221903;746156;0;10;1;JJF753
5312;SE;3511502;417126;0;17;3;MEL789
5313;TO;4221902;14060;0;21;1;XPTO123
5314;AP;4321500;173639;0;5;2;MEL789
5315;TO;4321500;456290;2;4;3;MEL789
5316;AL;2821602;735130;1;21;2;MEL789
5317;SC;4321500;510450;0;5;2;MEL789
5318;PE;4754703;279307;0;9;3;MEL789
5319;DF;4322303;996618;0;6;1;CABL951
5320;SE;2821601;665677;4;3;4;CABL951
5321;MG;4221903;616422;4;5;1;FOO456
5322;PB;4669901;117246;4;20;2;XPTO123
5323;MT;4321500;472913;0;14;2;MEL789
5324;ES;2821602;169066;0;3;4;MEL789
5325;GO;2821602;745615;1;4;4;CABL951
5326;PI;4742300;973813;3;2;3;XPTO123
5327;CE;3321000;288875;4;4;2;MEL789
5328;ES;2821602;436851;2;1;4;XPTO123
5329;SP;3511501;649620;4;3;4;CABL951
5330;PB;2821601;935496;0;11;1;XPTO123
5331;MG;2821601;721979;0;10;4;CABL951
5332;MS;4673700;521532;4;11;2;JJF753
5333;SP;2821602;516563;0;15;3;XPTO123
5334;ES;7112000;134711;0;5;3;FOO456
5335;AC;7112000;476788;1;7;1;JJF753
5336;MG;3321000;451555;0;5;1;CABL951
5337;MG;4221903;675342;0;19;4;JJF753
5338;SC;4322301;223911;0;4;2;MEL789
5339;SE;3321000;763468;0;7;3;MEL789
5340;AP;2731700;857976;1;2;4;JJF753
5341;TO;4321500;582987;0;11;2;CABL951
5342;RN;2821602;319824;0;5;1;MEL789
5343;DF;4669901;868252;0;21;2;JJF753
5344;BA;4322301;752443;2;3;2;CABL951
5345;AL;4669901;234316;0;11;1;XPTO123
5346;RR;4669999;524255;3;11;1;JJF753
5347;RS;4322301;60343;0;16;4;XPTO123
5348;CE;2821601;405903;2;4;1;XPTO123
5349;RR;4321500;478134;0;7;3;CABL951
5350;PI;4322301;599087;3;12;4;FOO456
5351;PA;4321500;263931;0;5;3;MEL789
5352;MT;4322302;344379;1;3;3;CABL951
5353;SP;4754703;316521;3;4;2;XPTO123
5354;SP;2821602;48805;0;20;4;XPTO123
5355;BA;4754703;250195;2;13;2;FOO456
5356;AC;4754703;315459;0;3;1;CABL951
5357;PR;2731700;202278;0;11;1;XPTO123
5358;AP;3511500;160670;0;9;3;JJF753
5359;MG;4742300;236421;0;11;3;XPTO123
5360;RN;2731700;860152;0;19;2;CABL951
5361;RO;4669999;308815;0;2;1;CABL951
5362;PA;4322303;633705;0;15;2;XPTO123
5363;AP;4322301;735381;0;13;2;CABL951
5364;PB;3313901;158999;0;8;1;XPTO123
5365;MS;4754703;170071;0;4;2;MEL789
5366;RR;4673700;885382;0;15;1;FOO456
5367;SC;3511501;465082;0;13;3;MEL789
5368;MT;2821602;226164;4;9;1;FOO456
5369;TO;3511501;588273;0;2;4;FOO456
5370;SE;4754703;288568;0;6;1;FOO456
5371;CE;3313901;153338;4;9;4;XPTO123
5372;PE;2821602;252265;1;19;4;MEL789
5373;AL;3313901;656165;0;19;4;FOO456
5374;MT;3321000;900835;2;12;4;FOO456
5375;MT;3329599;193217;4;1;1;JJF753
5376;SP;4321500;373797;0;19;3;FOO456
5377;SP;2731700;258095;0;9;2;XPTO123
5378;PI;4669901;649847;3;13;2;XPTO123
5379;PA;3511501;752304;0;2;3;MEL789
5380;SE;7112000;859572;3;21;4;XPTO123
5381;PI;7112000;776563;3;1;3;XPTO123
5382;TO;4322303;175560;0;5;2;MEL789
5383;ES;3313901;704767;2;1;2;FOO456
5384;PB;4321500;447032;0;7;2;MEL789
5385;MS;2731700;579124;0;9;3;JJF753
5386;AP;4322303;615902;0;7;1;CABL951
5387;TO;3313901;962553;0;1;3;CABL951
5388;PB;3511501;911089;0;18;1;JJF753
5389;SC;3313901;747290;2;17;4;JJF753
5390;BA;2821601;921276;3;6;2;MEL789
5391;PB;7112000;68462;0;13;1;FOO456
5392;MS;3511502;911971;4;15;4;MEL789
5393;SE;4221902;302661;4;3;1;CABL951
5394;AL;3511501;201588;1;17;2;JJF753
5395;PE;3329599;545190;0;6;3;MEL789
5396;SP;4754703;963603;0;6;4;CABL951
5397;RS;3329599;423311;0;15;4;CABL951
5398;TO;4322301;831696;0;5;2;FOO456
5399;RN;4221902;819671;0;12;1;FOO456
5400;RN;3313901;420927;0;8;4;XPTO123
5401;SE;4221902;174364;1;11;1;FOO456
5402;PA;4322303;306537;0;15;3;CABL951
5403;RR;4669901;407383;3;14;4;MEL789
5404;TO;4673700;952551;3;7;1;MEL789
5405;CE;4754703;350180;0;11;3;JJF753
5406;MG;4322303;575927;0;15;4;CABL951
5407;MG;2821602;208583;4;13;1;CABL951
5408;SE;2821601;257379;0;10;3;FOO456
5409;MA;4754703;673895;0;21;2;JJF753
5410;MA;2821601;81455;0;21;1;CABL951
5411;MT;3511502;269727;0;19;4;FOO456
5412;MA;3511500;915590;0;10;1;CABL951
5413;RO;2821602;823105;0;13;4;XPTO123
5414;AC;3329599;373025;0;3;4;XPTO123
5415;SE;4669999;237365;0;8;4;XPTO123
5416;RN;3313901;349995;3;12;1;MEL789
5417;RS;3329599;641110;3;18;3;JJF753
5418;TO;2731700;233477;2;19;3;FOO456
5419;RS;4673700;896994;3;4;2;MEL789
5420;BA;4669901;360600;2;17;4;JJF753
5421;RO;4673700;475825;1;9;1;XPTO123
5422;GO;3511500;123958;1;15;3;FOO456
5423;SC;4322303;337321;0;2;4;CABL951
5424;SP;2821602;700766;2;17;1;XPTO123
5425;PI;3321000;639348;0;19;1;XPTO123
5426;TO;3511502;34395;0;17;2;MEL789
5427;SP;3511500;922931;0;6;1;XPTO123
5428;PE;4322301;827300;0;11;3;CABL951
5429;PE;4221903;930374;0;13;2;CABL951
5430;RJ;4669901;204268;1;14;4;JJF753
5431;GO;4322303;421180;0;6;4;MEL789
5432;SE;4673700;380731;4;3;3;FOO456
5433;RO;3511501;743028;0;19;2;CABL951
5434;SE;4321500;139105;0;12;1;FOO456
5435;RO;7112000;476237;0;5;3;MEL789
5436;MA;4669901;118425;2;19;3;XPTO123
5437;PA;4322302;624717;0;20;3;MEL789
5438;RO;4673700;731683;0;9;3;XPTO123
5439;MA;4221903;694695;4;14;4;MEL789
5440;MA;3313901;28174;4;8;4;XPTO123
5441;MT;3313901;80331;3;19;3;XPTO123
5442;PI;4669901;624182;0;9;4;CABL951
5443;CE;3511502;133762;0;18;4;MEL789
5444;RO;3321000;386975;3;4;1;FOO456
5445;AL;2731700;540427;2;10;1;XPTO123
5446;AC;3511501;611964;0;10;4;CABL951
5447;AM;4321500;608053;0;2;3;FOO456
5448;DF;3511500;813959;0;14;1;MEL789
5449;PR;4322303;912609;0;6;3;FOO456
5450;PR;3511502;790501;4;5;1;CABL951
5451;AL;3511500;546317;0;1;4;MEL789
5452;RR;3511502;898689;0;9;1;JJF753
5453;PA;4673700;317461;0;15;3;CABL951
5454;PB;2731700;689744;4;15;3;JJF753
5455;SP;4322303;358178;0;2;1;FOO456
5456;RN;4221903;688970;1;20;2;XPTO123
5457;BA;3511500;209011;0;18;1;XPTO123
5458;ES;4321500;448004;0;12;2;FOO456
5459;PE;3511501;191504;0;8;2;XPTO123
5460;RJ;4754703;989755;0;20;2;MEL789
5461;GO;4754703;319698;0;17;3;XPTO123
5462;PB;4322301;707381;1;4;4;MEL789
5463;BA;2731700;102778;2;4;4;XPTO123
5464;SC;4673700;121202;0;19;1;FOO456
5465;BA;4221902;683084;2;5;1;XPTO123
5466;PR;3313901;973857;2;3;3;JJF753
5467;AC;3329599;677583;0;1;2;MEL789
5468;MS;4321500;728719;4;2;2;MEL789
5469;PI;3313901;298195;0;19;2;XPTO123
5470;SC;3329599;397541;4;9;2;MEL789
5471;AP;2731700;968420;2;9;2;JJF753
5472;PE;3511502;874487;0;13;4;MEL789
5473;DF;4669999;185131;4;17;2;CABL951
5474;MG;2731700;301069;3;14;2;CABL951
5475;DF;3329599;619676;0;6;3;FOO456
5476;CE;4669999;151994;0;4;2;CABL951
5477;MT;2821601;465339;0;7;1;MEL789
5478;RR;3313901;395746;0;1;4;CABL951
5479;BA;4321500;88859;0;1;1;JJF753
5480;PA;4673700;820401;0;4;3;XPTO123
5481;MG;2731700;132556;0;20;3;CABL951
5482;RR;3511502;237491;0;21;3;CABL951
5483;RJ;4669901;807499;0;19;2;CABL951
5484;BA;4669999;357972;0;15;1;MEL789
5485;AL;4322302;969852;0;18;1;JJF753
5486;BA;3511502;664422;0;18;4;XPTO123
5487;PE;4742300;42719;2;1;4;JJF753
5488;MT;7112000;588393;0;20;1;JJF753
5489;BA;2821601;147598;2;5;2;JJF753
5490;SE;2821601;767291;0;9;4;JJF753
5491;PE;4221903;168676;0;7;4;MEL789
5492;SC;4669901;760193;2;5;4;CABL951
5493;RS;4669901;905720;0;21;2;CABL951
5494;MG;4321500;479903;0;8;1;JJF753
5495;RS;2821602;106575;0;16;2;FOO456
5496;CE;4322301;350547;0;5;4;FOO456
5497;RO;3321000;969482;1;2;3;FOO456
5498;PB;4322302;327851;0;9;2;MEL789
5499;PA;4322301;567218;0;7;2;CABL951
5500;RN;4669901;641554;0;16;2;CABL951
5501;AL;4669901;318177;0;6;1;XPTO123
5502;PR;4754703;371749;3;20;2;JJF753
5503;MG;3329599;531489;4;19;2;XPTO123
5504;GO;3511501;804595;0;6;4;JJF753
5505;AM;2731700;691451;0;9;2;XPTO123
5506;DF;4322301;399302;0;3;1;CABL951
5507;MT;3511501;108572;0;12;4;JJF753
5508;SP;2821602;80051;1;18;2;XPTO123
5509;PA;4673700;333882;0;17;4;MEL789
5510;MA;2731700;408834;0;11;2;XPTO123
5511;TO;2731700;352110;0;2;3;XPTO123
5512;BA;4221902;308032;0;1;4;XPTO123
5513;PR;4321500;64875;0;13;3;XPTO123
5514;SE;4221902;424186;3;13;3;XPTO123
5515;MS;4321500;551426;0;15;1;XPTO123
5516;CE;4742300;311713;0;12;2;XPTO123
5517;RN;3313901;784054;2;1;2;MEL789
5518;TO;3511501;994698;3;19;2;CABL951
5519;CE;4322302;495789;0;20;4;MEL789
5520;PA;2821602;720772;0;12;4;JJF753
5521;MG;2821601;334735;0;1;4;JJF753
5522;DF;2731700;155070;0;3;2;FOO456
5523;MA;3329599;559189;4;16;4;XPTO123
5524;RO;7112000;886599;4;4;2;CABL951
5525;GO;4221903;661890;2;18;3;XPTO123
5526;PR;4221902;671292;4;20;1;FOO456
5527;SE;2731700;554017;0;11;4;XPTO123
5528;ES;4673700;913844;0;17;3;MEL789
5529;PI;3313901;309390;0;5;2;JJF753
5530;MT;4221902;284409;0;21;4;JJF753
5531;MS;4321500;530334;0;8;1;FOO456
5532;PE;7112000;626676;0;11;1;CABL951
5533;AL;2821601;692900;0;1;3;CABL951
5534;PE;4742300;194184;0;11;3;CABL951
5535;CE;4673700;55162;3;1;2;CABL951
5536;BA;4742300;933650;1;21;4;FOO456
5537;TO;4221903;243571;0;9;2;CABL951
5538;RS;3511502;315722;1;6;2;CABL951
5539;AM;2731700;760672;0;18;1;CABL951
5540;BA;4742300;268820;3;3;2;JJF753
5541;PB;4754703;548695;0;12;3;MEL789
5542;SE;3511502;245583;0;7;3;CABL951
5543;SC;4754703;784604;0;5;1;MEL789
5544;AM;4322303;248712;0;2;1;JJF753
5545;RJ;3511501;935182;0;1;2;CABL951
5546;RR;3321000;251906;0;6;1;MEL789
5547;PB;4322302;103659;0;6;3;JJF753
5548;SE;3511502;655439;0;8;3;JJF753
5549;BA;2821602;460115;0;1;3;MEL789
5550;PB;4669901;922746;1;17;4;MEL789
5551;PB;4321500;441519;1;10;4;CABL951
5552;PE;3511501;664638;0;15;1;XPTO123
5553;ES;3313901;890533;0;7;4;XPTO123
5554;ES;4321500;389944;0;7;2;FOO456
5555;RN;4754703;304465;0;16;3;XPTO123
5556;TO;2821601;218584;0;5;4;XPTO123
5557;RO;3313901;113299;0;1;3;MEL789
5558;SC;4321500;748439;1;11;4;MEL789
5559;SC;4754703;783354;0;10;1;XPTO123
5560;MG;3321000;563321;0;4;1;XPTO123
5561;AM;4669901;168260;2;9;2;XPTO123
5562;AL;2731700;401822;0;19;3;XPTO123
5563;SP;2731700;434350;0;13;2;FOO456
5564;RO;3511500;77074;2;21;2;MEL789
5565;MS;3321000;542326;1;16;1;CABL951
5566;SC;3313901;398003;0;4;1;CABL951
5567;AP;4321500;370271;0;16;3;CABL951
5568;CE;4321500;798669;0;5;1;MEL789
5569;RS;3321000;330198;0;1;1;FOO456
5570;RN;4669999;148380;1;17;1;XPTO123
5571;PA;3329599;487702;2;3;2;MEL789
5572;SP;4322303;528576;4;19;2;XPTO123
5573;RJ;3511502;217633;0;6;1;CABL951
5574;BA;4221902;747166;0;15;2;JJF753
5575;RN;4321500;985425;0;4;1;XPTO123
5576;GO;2821601;65641;0;16;3;MEL789
5577;SP;4673700;483688;3;1;4;FOO456
5578;GO;3321000;200551;0;1;4;MEL789
5579;RJ;4221903;675879;0;16;1;MEL789
5580;RO;4321500;841285;0;19;4;XPTO123
5581;SP;4322302;947633;1;15;4;XPTO123
5582;MA;3511502;768283;0;17;3;JJF753
5583;SE;4322303;57671;3;12;3;MEL789
5584;PI;3321000;220268;3;2;3;JJF753
5585;PA;4321500;529090;3;4;1;MEL789
5586;RN;4673700;970882;3;8;3;XPTO123
5587;SC;4321500;768322;3;18;1;CABL951
5588;AM;3511501;20245;1;2;2;MEL789
5589;RR;2821602;146087;2;18;2;JJF753
5590;DF;3511502;431503;1;6;3;MEL789
5591;RJ;4221902;863001;4;2;3;CABL951
5592;AM;4673700;178662;4;1;3;CABL951
5593;AL;3511501;561739;3;2;1;MEL789
5594;MG;3313901;129504;3;7;3;CABL951
5595;AP;4322303;699029;0;8;3;CABL951
5596;AL;3511502;574519;0;4;4;JJF753
5597;RJ;4321500;844472;1;5;1;JJF753
5598;SE;3321000;635145;2;20;3;JJF753
5599;AL;2731700;684191;0;16;2;JJF753
5600;PI;7112000;966364;0;21;3;CABL951
5601;RN;4221902;215570;1;13;2;MEL789
5602;PR;4742300;347017;4;21;2;MEL789
5603;PE;4754703;134933;0;3;2;FOO456
5604;SC;4742300;561097;2;10;1;JJF753
5605;RJ;3511500;678621;4;12;4;JJF753
5606;SE;3511501;127722;0;3;4;JJF753
5607;MG;3511501;51400;0;15;1;JJF753
5608;AP;4322303;849349;0;18;3;CABL951
5609;CE;3511501;270891;0;5;1;CABL951
5610;PR;2821601;58382;0;10;3;JJF753
5611;RO;2821602;228644;0;4;1;JJF753
5612;SC;3511501;813703;0;18;1;CABL951
5613;ES;4754703;245419;1;1;2;FOO456
5614;AC;3511500;165061;0;4;4;FOO456
5615;RS;3511502;398993;0;18;2;MEL789
5616;MT;3329599;489576;0;15;3;JJF753
5617;PI;3511501;941594;1;12;1;MEL789
5618;SC;3511500;533167;0;2;1;CABL951
5619;SE;2821602;825789;0;3;1;XPTO123
5620;PI;7112000;125805;0;15;4;JJF753
5621;DF;3511500;928281;1;4;2;XPTO123
5622;MG;4754703;352130;4;4;4;FOO456
5623;MS;3511500;543893;4;15;3;JJF753
5624;PE;4669999;886262;2;11;3;MEL789
5625;PI;2821601;474904;1;12;4;MEL789
5626;RS;4321500;558791;0;10;2;XPTO123
5627;AC;4669901;340361;0;3;4;FOO456
5628;RJ;4221903;49005;4;8;4;FOO456
5629;AP;4669999;288936;0;12;2;XPTO123
5630;ES;4742300;787048;0;15;3;CABL951
5631;TO;4322303;973674;0;5;4;CABL951
5632;MA;4221902;395127;2;15;4;XPTO123
5633;MT;2821601;240804;0;9;4;MEL789
5634;GO;4322303;47661;1;17;2;MEL789
5635;RR;4221903;882857;0;13;1;XPTO123
5636;AP;4321500;407565;0;5;2;JJF753
5637;MS;2731700;926631;0;6;1;XPTO123
5638;RO;4221903;254507;0;19;2;XPTO123
5639;ES;4669901;384570;2;13;1;CABL951
5640;SP;3511501;817525;0;21;4;JJF753
5641;MT;2821601;93947;0;7;2;MEL789
5642;SP;4322301;886539;0;13;1;CABL951
5643;PB;4322303;634347;2;9;4;FOO456
5644;SC;2731700;686737;3;12;3;XPTO123
5645;SP;4322301;24060;0;3;1;CABL951
5646;PA;4321500;678330;4;14;3;JJF753
5647;MS;3321000;915790;0;14;1;JJF753
5648;RO;2821602;735575;4;18;2;MEL789
5649;PB;7112000;609973;0;13;1;XPTO123
5650;AM;4669999;246186;0;6;2;FOO456
